name,latitude,longitude,Region.num,dep,x,y
Allendale,54.896837,-2.25502,Nb 9,no hyperrhoticity,383.646515609155,555.828630100643
Washington,54.897432,-1.517366,Du 1,no hyperrhoticity,430.948978504076,555.97170293945
Haltwhistle,54.972237,-2.460856,Nb 7,no hyperrhoticity,370.502326804603,564.285601809278
Heddon-on-the-Wall,54.998474,-1.802084,Nb 8,no hyperrhoticity,412.659643576451,567.125728009132
Longtown,55.009299,-2.971888,Cu 1,no hyperrhoticity,337.851159326444,568.744151482091
Earsdon,55.045871,-1.494876,Nb 6,no hyperrhoticity,432.271902619779,572.498255109538
Wark on Tyne,55.093473,-2.319751,Nb 5,no hyperrhoticity,379.595585875686,577.725045331098
Ellington,55.220624,-1.563917,Nb 4,no hyperrhoticity,427.73953794101,591.913405375689
Thropton,55.313093,-1.951753,Nb 3,no hyperrhoticity,403.061914359915,602.117155667991
Embleton,55.495952,-1.635481,Nb 2,no hyperrhoticity,423.026963505221,622.524373616708
Lowick,55.651169,-1.976763,Nb 1,no hyperrhoticity,401.462125683641,639.736740653343
Gooderstone,52.589424,0.59697,Nf 8,no hyperrhoticity,575.899734189405,302.276070465448
Mon 7,51.584144,-2.997666,Mon 7,no hyperrhoticity,330.88429550561,187.77820142338
