latitude,longitude,dep,x,y
50.027991,-5.240468,coronal,167.943733069843,19.3087770040063
50.076007,-5.626154,coronal,140.589359507805,25.9147380732226
50.187582,-5.370383,coronal,159.443574230953,37.4579041630802
50.282002,-4.840752,coronal,197.639475907542,46.3779512355886
50.346039,-3.682552,coronal,280.29877609666,50.9908318960522
50.421219,-3.96414,coronal,260.48799755494,59.8395760697026
50.508415,-4.790314,coronal,202.176970952009,71.4096682695489
50.574983,-3.81225,coronal,271.693318044532,76.660022246683
50.577706,-4.097848,coronal,251.483265286542,77.4958694191852
50.596439,-1.26302,coronal,452.155622530431,77.7371582519854
50.606127,-4.512319,coronal,222.251308989395,81.5676106265658
50.616444,-2.06195,coronal,395.617671901426,79.7040858944823
50.667967,-3.535299,coronal,291.514544669773,86.5553357202129
50.671133,-2.563294,coronal,360.199066120934,85.9343211954479
50.725834,-3.910826,coronal,265.147329972885,93.6061533234335
50.754717,-2.857273,coronal,339.535132731962,95.4269048223966
50.779847,-3.222883,coronal,313.794921707535,98.583530966696
50.82642,-1.701727,coronal,421.005660080149,103.091633381238
50.8317,-2.329,coronal,376.833031291119,103.68790244381
50.847426,0.097874,coronal,547.668423037376,107.481766896555
50.877069,-4.482512,coronal,225.371055274142,111.616759524873
50.897815,-3.833946,coronal,271.047131942716,112.589558271913
50.912859,-2.795911,coronal,344.052427813628,112.962173333076
50.927046,-0.609178,coronal,497.735053165217,115.159039646248
50.931636,-1.086495,coronal,464.187719372521,115.145701372492
50.93361,0.243262,coronal,557.609963493227,117.364008352452
50.9516,-2.000834,coronal,399.941423307556,116.968268485378
50.966687,-3.113596,coronal,321.811984353879,119.236095430684
50.970644,-0.86665,coronal,479.568188965555,119.697198281634
50.976335,-4.171064,coronal,247.601965584939,121.962263718326
50.992464,0.033713,coronal,542.708057498425,123.480533085466
51.013156,-1.647986,coronal,424.691295041532,123.871873357405
51.013355,-2.42717,coronal,370.037189255659,123.921863644254
51.033234,0.816376,coronal,597.447252029997,129.819924453958
51.043532,-2.929939,coronal,334.814481658332,127.601943537412
51.052032,-3.97222,coronal,261.783912279841,129.986101524166
51.059856,-1.993764,coronal,400.436972459373,129.005735149352
51.075116,-3.500705,coronal,294.878855849906,131.773685107047
51.078178,-1.486981,coronal,435.934261556277,131.168203617316
51.090632,-1.161219,coronal,458.736112757045,132.762432041185
51.090843,-0.34712,coronal,515.740823075864,133.750572927533
51.108187,-3.649063,coronal,284.569648372005,135.67299517284
51.11306,0.457947,coronal,572.026017455656,137.794734052036
51.127849,-3.291264,coronal,309.652040984166,137.358946464
51.150417,-0.712899,coronal,490.012788460881,139.863199162146
51.179217,-2.151269,coronal,389.42747531279,142.289110286837
51.17958,-3.138084,coronal,320.458513730447,142.934121598207
51.1797,-3.521062,coronal,293.693361395784,143.431463435793
51.181289,-0.357745,coronal,514.772363705894,143.790349852085
51.18264,1.16917,coronal,621.459823280614,147.433130221267
51.188321,-3.909505,coronal,266.572003639528,145.023354018572
51.191485,-0.113074,coronal,531.841364542989,145.334401854693
51.228772,-2.81108,coronal,343.373014649738,148.101155618498
51.236308,-2.448202,coronal,368.712939604845,148.722068786737
51.240295,-1.785885,coronal,414.945183725492,149.091774117045
51.244295,0.759441,coronal,592.575764828057,153.132356383634
51.249651,-1.507402,coronal,434.376191573142,150.225622300051
51.250869,-1.188708,coronal,456.61465466503,150.558424691197
51.252926,-0.483648,coronal,505.809464301962,151.566659112525
51.264036,1.256024,coronal,627.126466742479,156.746459819591
51.282598,-0.247666,coronal,522.196273430259,155.23223705422
51.309006,-2.137016,coronal,390.450562765858,156.719533385485
51.327415,-2.719179,coronal,349.896592239744,159.003212507007
51.348757,-1.671462,coronal,422.877900920927,161.182174788601
51.374941,-1.464228,coronal,437.287397809096,164.178840706546
51.379406,-0.96065,coronal,472.326556053762,165.05171178701
51.380963,0.218655,coronal,554.380467420291,167.04817888969
51.397,-2.393,coronal,372.662018133128,166.568903994844
51.428867,-1.85494,coronal,410.083708644445,170.049288451829
51.446101,0.62131,coronal,582.135234344471,175.214994597835
51.487453,-0.475554,coronal,505.832075281421,177.656011867702
51.498447,-0.928179,coronal,474.392447958349,178.321386338324
51.505328,-2.083788,coronal,394.185282162396,178.545333881091
51.540371,-1.324842,coronal,446.818411053608,182.654938599582
51.551795,-0.064644,coronal,534.167388171379,185.484279270296
51.55967,-2.485006,coronal,366.381703783582,184.69652053163
51.584144,-2.997666,coronal,330.88429550561,187.77820142338
51.601076,-1.56018,coronal,430.458540131479,189.281253766018
51.615886,0.738725,coronal,589.585205614458,194.389540102569
51.620585,-3.126099,coronal,322.049463030505,191.959682405773
51.637428,-2.987901,coronal,331.640859621474,193.694305470642
51.639126,-2.754597,coronal,347.786347763495,193.690633328436
51.641845,-1.930725,coronal,404.793165295777,193.725663876143
51.652529,-1.037174,coronal,466.601948667618,195.350417973651
51.65307,-0.627904,coronal,494.910360501662,195.863032225307
51.663696,0.302137,coronal,559.199384032371,198.662664619603
51.678969,-1.507944,coronal,434.017650475001,197.966432349204
51.695127,0.879492,coronal,598.980283703529,203.573832005131
51.728226,-2.377663,coronal,373.919067316135,203.397064116929
51.745216,0.574241,coronal,577.693589362209,208.354562594015
51.753067,-2.575322,coronal,360.290854723673,206.248679471061
51.76258,-2.233281,coronal,383.902105185559,207.175773622059
51.764794,-2.852012,coronal,341.209015181435,207.739610480091
51.767372,0.104023,coronal,545.168279124007,209.777081155985
51.773991,-1.001586,coronal,468.878871480444,208.890504109842
51.781605,-1.376999,coronal,442.972848288754,209.44933889185
51.792691,-3.01015,coronal,330.34030980479,210.98118759816
51.79769,0.984602,coronal,605.775316013174,215.267963041115
51.805422,-0.723713,coronal,487.987008036838,212.684685259102
51.80716,0.348399,coronal,561.884501468493,214.715799835326
51.81125,-0.292506,coronal,517.697357778546,213.941189816012
51.812119,0.74656,coronal,589.305954153627,216.226721605539
51.823063,-1.232683,coronal,452.878705955517,214.154654958127
51.830096,-1.752249,coronal,417.070903663705,214.687457780927
51.849869,-0.235508,coronal,521.521930558858,218.329112629172
51.856956,-2.658584,coronal,354.648478131124,217.850541946917
51.864256,-0.660048,coronal,492.255558039376,219.305960061906
51.876776,-2.79461,coronal,345.305608498865,220.148114305757
51.889753,1.075092,coronal,611.580466204392,225.762267862661
51.891879,0.618749,coronal,580.179120852299,224.770295226203
51.907508,0.856427,coronal,596.460884616889,227.123058279106
51.914357,-1.627725,coronal,425.603120515612,224.094639142301
51.92678,-0.761755,coronal,485.135050670138,226.135006247693
51.929674,-1.3108,coronal,447.383235976195,225.956958533069
51.933227,0.251434,coronal,554.767641361626,228.522274345353
51.955499,-2.989908,coronal,331.982257908538,229.067408427848
51.962855,-0.492528,coronal,503.561590010461,230.495859227793
51.964039,-2.190959,coronal,386.881325168279,229.571625184969
51.972603,-1.989003,coronal,400.755338240773,230.506888201327
51.989984,-1.046743,coronal,465.449200244046,232.868816126626
52.002133,0.450702,coronal,568.205487197966,236.626514522323
52.017597,-0.054681,coronal,533.475811131245,237.297037288936
52.033474,0.650527,coronal,581.791177728794,240.5925280954
52.058535,0.916917,coronal,599.946413461186,244.079027415957
52.060655,-1.622814,coronal,425.856482612244,240.366523437359
52.062757,0.19682,coronal,550.578455381224,242.810377325941
52.078493,-2.190011,coronal,386.979725589055,242.300276458634
52.091876,0.48794,coronal,570.41908481025,246.691755326129
52.093246,-1.863793,coronal,409.330345053326,243.932747671658
52.101639,-1.185457,coronal,455.78626822242,245.170345783439
52.109097,-1.922863,coronal,405.282106284154,245.689673670425
52.120677,-2.401822,coronal,372.491637762686,247.050878078342
52.155899,-0.347477,coronal,513.037363252895,252.179411088355
52.158942,-2.872496,coronal,340.321343938699,251.589266621381
52.161581,-0.625545,coronal,494.00572339009,252.414457619747
52.194384,-2.970589,coronal,333.66468827288,255.616091165256
52.201448,-1.504368,coronal,433.869103293704,256.073540670715
52.226684,-0.97832,coronal,469.776432601513,259.256232590105
52.23591,-1.796421,coronal,413.900880583893,259.810080582534
52.245966,-1.319795,coronal,446.435344891767,261.126898147565
52.249163,1.07976,coronal,610.205850600287,265.733356413753
52.251555,-2.422225,coronal,371.17961428847,261.614526976493
52.255314,-0.072272,coronal,531.566524286188,263.699069893514
